"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty20113","McPherson County, KS",32775
"cty20197","Wabaunsee County, KS",32770
"cty20029","Cloud County, KS",32766
"cty22029","Concordia Parish, LA",32762
"cty26109","Menominee County, MI",32758
"cty31093","Howard County, NE",32755
"cty27073","Lac qui Parle County, MN",32751
"cty48463","Uvalde County, TX",32750
"cty30015","Chouteau County, MT",32745
"cty27105","Nobles County, MN",32738
"cty48157","Fort Bend County, TX",32727
"cty16073","Owyhee County, ID",32725
"cty53037","Kittitas County, WA",32722
"cty31119","Madison County, NE",32721
"cty46093","Meade County, SD",32718
"cty16087","Washington County, ID",32716
"cty46019","Butte County, SD",32715
"cty48479","Webb County, TX",32692
"cty18037","Dubois County, IN",32689
"cty48353","Nolan County, TX",32689
"cty48421","Sherman County, TX",32682
"cty36103","Suffolk County, NY",32671
"cty49001","Beaver County, UT",32671
"cty08123","Weld County, CO",32662
"cty20043","Doniphan County, KS",32658
"cty48059","Callahan County, TX",32654
"cty48475","Ward County, TX",32651
"cty34025","Monmouth County, NJ",32650
"cty42063","Indiana County, PA",32648
"cty01099","Monroe County, AL",32647
"cty19189","Winnebago County, IA",32637
"cty31137","Phelps County, NE",32637
"cty55119","Taylor County, WI",32636
"cty20007","Barber County, KS",32626
"cty48321","Matagorda County, TX",32614
"cty27061","Itasca County, MN",32610
"cty22019","Calcasieu Parish, LA",32609
"cty08021","Conejos County, CO",32605
"cty08067","La Plata County, CO",32599
"cty22055","Lafayette Parish, LA",32585
"cty22119","Webster Parish, LA",32582
"cty05025","Cleveland County, AR",32563
"cty30027","Fergus County, MT",32562
"cty22009","Avoyelles Parish, LA",32560
"cty19137","Montgomery County, IA",32556
"cty25017","Middlesex County, MA",32552
"cty46089","McPherson County, SD",32547
"cty13249","Schley County, GA",32537
"cty31069","Garden County, NE",32531
"cty48161","Freestone County, TX",32528
"cty48151","Fisher County, TX",32525
"cty20031","Coffey County, KS",32516
"cty08014","Broomfield County, CO",32509
"cty40009","Beckham County, OK",32508
"cty46029","Codington County, SD",32484
"cty20141","Osborne County, KS",32473
"cty22041","Franklin Parish, LA",32469
"cty20151","Pratt County, KS",32429
"cty19051","Davis County, IA",32426
"cty34037","Sussex County, NJ",32410
"cty19121","Madison County, IA",32410
"cty53021","Franklin County, WA",32410
"cty48197","Hardeman County, TX",32408
"cty06081","San Mateo County, CA",32384
"cty27151","Swift County, MN",32379
"cty32013","Humboldt County, NV",32373
"cty54073","Pleasants County, WV",32370
"cty19115","Louisa County, IA",32351
"cty40095","Marshall County, OK",32350
"cty55109","St. Croix County, WI",32350
"cty49035","Salt Lake County, UT",32345
"cty40149","Washita County, OK",32345
"cty48249","Jim Wells County, TX",32342
"cty35037","Quay County, NM",32335
"cty48493","Wilson County, TX",32332
"cty27023","Chippewa County, MN",32322
"cty48051","Burleson County, TX",32293
"cty19061","Dubuque County, IA",32292
"cty48077","Clay County, TX",32292
"cty48245","Jefferson County, TX",32277
"cty19065","Fayette County, IA",32273
"cty46123","Tripp County, SD",32272
"cty48503","Young County, TX",32269
"cty30067","Park County, MT",32266
"cty56001","Albany County, WY",32266
"cty08015","Chaffee County, CO",32261
"cty49025","Kane County, UT",32248
"cty16035","Clearwater County, ID",32237
"cty16057","Latah County, ID",32228
"cty55121","Trempealeau County, WI",32222
"cty30053","Lincoln County, MT",32213
"cty53031","Jefferson County, WA",32212
"cty08039","Elbert County, CO",32206
"cty19071","Fremont County, IA",32178
"cty48189","Hale County, TX",32168
"cty27047","Freeborn County, MN",32164
"cty40033","Cotton County, OK",32156
"cty48015","Austin County, TX",32156
"cty30041","Hill County, MT",32141
"cty31047","Dawson County, NE",32140
"cty27169","Winona County, MN",32138
"cty28005","Amite County, MS",32129
